id,label,eid,title,acc_type,industry,start_date,days,subtype,eq_type,name_cas,factor_type,number,name,pollution_type
PLANTEQUIPMENTFACTOR_1060,PlantEquipmentFactor,,,,,,,,,,"vessel/container/containment-equipment failure
corrosion/fatigue",,,
ACC_259,Accident,259.0,Release of chlorine in a plant as consequence of the power failure at the public power supply,Major Accident,General chemicals manufacture (not otherwise specified int the list),,,,,,,,,
DT_259,DateTime,,,,,1991-11-15 13:45:00,,,,,,,,
DUR_259,Duration,,,,,,0.427083333299379,,,,,,,
STAFF_259,FactoryStaff,,,,,,,,,,,,,
RELEASE_259,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
SUB_259,HazardSubstance,,,,,,,,,Chlorine - 7782-50-5 -  ,,,,
TOXIC_259,Toxic,,,,,,,,,,,,,
PLANTEQUIPMENTFACTOR_259,PlantEquipmentFactor,,,,,,,,,,instrument/control/monitoring-device failure,,,
ORGANIZATIONFACTOR_259,OrganizationFactor,,,,,,,,,,"management organization inadequate
other",,,
INJ_259,Injury,,,,,,,,,,,32.0,,
ACC_508,Accident,508.0,Leakage from a chemical plant of sulphuric acid containing a high amount of dissolved chlorine caused the release of chlorine in the atmosphere,Major Accident,General chemicals manufacture (not otherwise specified int the list),,,,,,,,,
DT_508,DateTime,,,,,2003-01-12 18:30:00,,,,,,,,
DUR_508,Duration,,,,,,1.04166666670062,,,,,,,
STAFF_508,FactoryStaff,,,,,,,,,,,,,
SUB_508,HazardSubstance,,,,,,,,,chlorine - 7782-50-5 -  ,,,,
TOXIC_508,Toxic,,,,,,,,,,,,,
ACC_121,Accident,121.0,Mass explosion during the transfer of maroons at a fireworks facility,Major Accident,Production and storage of fireworks,,,,,,,,,
DT_121,DateTime,,,,,2016-06-29 15:40:00,,,,,,,,
DUR_121,Duration,,,,,,1.01388888889778,,,,,,,
STAFF_121,FactoryStaff,,,,,,,,,,,,,
EXPLOSION_121,Explosion,,,,,,,explosive decomposition (of unstable material),,,,,,
FATAL_121,Fatality,,,,,,,,,,,2.0,,
ACC_918,Accident,918.0,Explosion of an oxygen pipe,Major Accident,Chemical installations - Industrial gases,,,,,,,,,
DT_918,DateTime,,,,,2010-06-13 13:45:00,,,,,,,,
DUR_918,Duration,,,,,,1.06597222219716,,,,,,,
STAFF_918,FactoryStaff,,,,,,,,,,,,,
RELEASE_918,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
SUB_918,HazardSubstance,,,,,,,,,O2 - CAS Number -  ,,,,
OXIDIZING_918,Oxidizing,,,,,,,,,,,,,
PLANTEQUIPMENTFACTOR_918,PlantEquipmentFactor,,,,,,,,,,corrosion/fatigue,,,
ORGANIZATIONFACTOR_918,OrganizationFactor,,,,,,,,,,"design of plant/equipment/system
testing/inspecting/recording",,,
ACC_2,Accident,2.0,Fire in a surface treatment plant,Major Accident,Processing of metals using electrolytic or chemical processes,,,,,,,,,
DT_2,DateTime,,,,,2015-04-13 05:30:00,,,,,,,,
DUR_2,Duration,,,,,,0.770833333299379,,,,,,,
STAFF_2,FactoryStaff,,,,,,,,,,,,,
RELEASE_2,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
FIRE_2,Fire,,,,,,,conflagration (a general engulfment fire),,,,,,
SUB_2,HazardSubstance,,,,,,,,,combustion gases - na -  ,,,,
HUMANFACTOR_2,HumanFactor,,,,,,,,,,other,,,
ACC_1112,Accident,1112.0,Fire at a surface treatment plant,Near Miss,Processing of metals using electrolytic or chemical processes,,,,,,,,,
DT_1112,DateTime,,,,,2017-06-08 21:30:00,,,,,,,,
DUR_1112,Duration,,,,,,1.14583333340124,,,,,,,
STAFF_1112,FactoryStaff,,,,,,,,,,,,,
FIRE_1112,Fire,,,,,,,"pool fire (burning pool of liquid, contained or uncontained)",,,,,,
SUB_1112,HazardSubstance,,,,,,,,,Nickel electrolyte - na -  ,,,,
PLANTEQUIPMENTFACTOR_1112,PlantEquipmentFactor,,,,,,,,,,"component/machinery failure/malfunction
corrosion/fatigue",,,
ACC_139,Accident,139.0,Explosion and fire on the amine recovery unit at,Major Accident,Petrochemical / Oil Refineries,,,,,,,,,
DT_139,DateTime,,,,,2011-06-02 18:20:00,,,,,,,,
DUR_139,Duration,,,,,,1.02083333329938,,,,,,,
CON_139,Contractor,,,,,,,,,,,,True,
FIRE_139,Fire,,,,,,,"conflagration (a general engulfment fire)
flash fire (burning vapour cloud, subsonic flame front)
fireball (burning mass rising in air, often after BLEVE)",,,,,,
EXPLOSION_139,Explosion,,,,,,,rapid phase-transition explosion (rapid change of state),,,,,,
STORAGEEQUIPMENT_139,StorageEquipment,,,,,,,,reaction vessel; non-pressurised,,,,,
PROCESSEQUIPMENT_139,ProcessEquipment,,,,,,,,"container; non-pressurised (hopper, tank, drum, bag, etc.)",,,,,
TRANSFEREQUIPMENT_139,TransferEquipment,,,,,,,,other transfer equipment/apparatus/vehicle,,,,,
PLANTEQUIPMENTFACTOR_139,PlantEquipmentFactor,,,,,,,,,,"unexpected reaction/phase-transition
electrostatic accumulation",,,
HUMANFACTOR_139,HumanFactor,,,,,,,,,,"operator error
other",,,
ORGANIZATIONFACTOR_139,OrganizationFactor,,,,,,,,,,"management organization inadequate
organized procedures
training/instruction
supervision
staffing
process analysis
design of plant/equipment/system
testing/inspecting/recording",,,
FATAL_139,Fatality,,,,,,,,,,,4.0,,
INJ_139,Injury,,,,,,,,,,,1.0,,
ACC_21,Accident,21.0,Explosion in the ethylene oxide re-distillation column in a petrochemical industry,Major Accident,Petrochemical / Oil Refineries,,,,,,,,,
DT_21,DateTime,,,,,1987-07-03 19:08:00,,,,,,,,
DUR_21,Duration,,,,,,0.202777777798474,,,,,,,
STAFF_21,FactoryStaff,,,,,,,,,,,,,
SUB_21,HazardSubstance,,,,,,,,,Ethylene Oxide - 75-21-8 -   Styrene - 100-42-5 -  ,,,,
FLAMMABLE_21,Flammable,,,,,,,,,,,,,
INJ_21,Injury,,,,,,,,,,,1.0,,
ACC_594,Accident,594.0,"Explosion inside a tank during the unloading of nitric acid from a road tanker, and subsequent release of toxic cloud",Major Accident,Wholesale and retail storage and distribution (excluding LPG),,,,,,,,,
DT_594,DateTime,,,,,1988-05-16 08:00:00,,,,,,,,
DUR_594,Duration,,,,,,0.666666666700621,,,,,,,
STAFF_594,FactoryStaff,,,,,,,,,,,,,
RELEASE_594,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
EXPLOSION_594,Explosion,,,,,,,runaway reaction explosion (usually exothermic),,,,,,
STORAGEEQUIPMENT_594,StorageEquipment,,,,,,,,"container; non-pressurised (hopper, tank, drum, bag, etc.)",,,,,
SUB_594,HazardSubstance,,,,,,,,,Nitrogen Monoxide (NO) - 10102-43-9 -   Nitrogen Dioxide (NO2) - 10102-44-0 -   Formic Acid - 64-18-6 -   Nitric Acid - 7697-37-2 -   Nitrogen Oxide (N2O) - 10024-97-2 -  ,,,,
EXPLOSIVEHAZARD_594,ExplosiveHazard,,,,,,,,,,,,,
FLAMMABLE_594,Flammable,,,,,,,,,,,,,
OXIDIZING_594,Oxidizing,,,,,,,,,,,,,
PLANTEQUIPMENTFACTOR_594,PlantEquipmentFactor,,,,,,,,,,unexpected reaction/phase-transition,,,
HUMANFACTOR_594,HumanFactor,,,,,,,,,,operator error,,,
ORGANIZATIONFACTOR_594,OrganizationFactor,,,,,,,,,,"organized procedures
training/instruction",,,
FATAL_594,Fatality,,,,,,,,,,,1.0,,
INJ_594,Injury,,,,,,,,,,,7.0,,
ACC_779,Accident,779.0,Release of gaseous hydrochloric acid from a condenser joint,Other Event,General chemicals manufacture (not otherwise specified int the list),,,,,,,,,
DT_779,DateTime,,,,,1997-08-25 11:30:00,,,,,,,,
DUR_779,Duration,,,,,,1.08333333329938,,,,,,,
STAFF_779,FactoryStaff,,,,,,,,,,,,,
RELEASE_779,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
PROCESSEQUIPMENT_779,ProcessEquipment,,,,,,,,reaction vessel; non-pressurised,,,,,
SUB_779,HazardSubstance,,,,,,,,,Hydrogen Chloride - 07647-01-0 -  ,,,,
TOXIC_779,Toxic,,,,,,,,,,,,,
PLANTEQUIPMENTFACTOR_779,PlantEquipmentFactor,,,,,,,,,,vessel/container/containment-equipment failure,,,
ACC_1001,Accident,1001.0,Release from oven on the steam-cracking line,Major Accident,Plastic and rubber manufacture,,,,,,,,,
DT_1001,DateTime,,,,,2007-02-14 09:45:00,,,,,,,,
DUR_1001,Duration,,,,,,1.0,,,,,,,
STAFF_1001,FactoryStaff,,,,,,,,,,,,,
RELEASE_1001,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
SUB_1001,HazardSubstance,,,,,,,,,Benzene - 71-43-2 -   Butadiene - 106-99-0 -   Ethylene - 74-85-1 -   Propylene - 115-07-1 -   Methane - 74-82-8 -   Ethane - 74-84-0 -   Toluene - 108-88-3 -  ,,,,
FLAMMABLE_1001,Flammable,,,,,,,,,,,,,
PLANTEQUIPMENTFACTOR_1001,PlantEquipmentFactor,,,,,,,,,,"component/machinery failure/malfunction
instrument/control/monitoring-device failure",,,
ACC_479,Accident,479.0,"Accident in a storage facility for different products, including fertilisers and herbicides",Other Event,Wholesale and retail storage and distribution (excluding LPG),,,,,,,,,
DT_479,DateTime,,,,,2000-08-01 11:30:00,,,,,,,,
DUR_479,Duration,,,,,,0.520833333299379,,,,,,,
STAFF_479,FactoryStaff,,,,,,,,,,,,,
SUB_479,HazardSubstance,,,,,,,,,Arsenic trioxide - 1327-53-3 -  ,,,,
TOXIC_479,Toxic,,,,,,,,,,,,,
ACC_692,Accident,692.0,Release of hydrogen and immediate ignition of the mixture,Major Accident,General chemicals manufacture (not otherwise specified int the list),,,,,,,,,
DT_692,DateTime,,,,,1998-07-15 10:31:00,,,,,,,,
DUR_692,Duration,,,,,,0.561805555596948,,,,,,,
STAFF_692,FactoryStaff,,,,,,,,,,,,,
RELEASE_692,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
SUB_692,HazardSubstance,,,,,,,,,Hydrogen - 1333-74-0 -  ,,,,
FLAMMABLE_692,Flammable,,,,,,,,,,,,,
HUMANFACTOR_692,HumanFactor,,,,,,,,,,operator error,,,
ACC_735,Accident,735.0,Release of sodium hypochlorite and hydrogen chloride with the formation of a chlorine gas cloud,Major Accident,Production of pharmaceuticals,,,,,,,,,
DT_735,DateTime,,,,,1996-06-01 00:00:00,,,,,,,,
DUR_735,Duration,,,,,,1.0,,,,,,,
STAFF_735,FactoryStaff,,,,,,,,,,,,,
RELEASE_735,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
STORAGEEQUIPMENT_735,StorageEquipment,,,,,,,,"container; non-pressurised (hopper, tank, drum, bag, etc.)",,,,,
SUB_735,HazardSubstance,,,,,,,,,hydrogen chloride - 07647-01-0 -   Chlorine - 07782-50-5 - 1.80000 Sodium hypochlorite solution - 7681-52-9 - 34.00000,,,,
TOXIC_735,Toxic,,,,,,,,,,,,,
PLANTEQUIPMENTFACTOR_735,PlantEquipmentFactor,,,,,,,,,,"vessel/container/containment-equipment failure
other",,,
ORGANIZATIONFACTOR_735,OrganizationFactor,,,,,,,,,,"testing/inspecting/recording
other",,,
INJ_735,Injury,,,,,,,,,,,77.0,,
ACC_1259,Accident,1259.0,Release of hydrogen fluoride (HF) in a HF production plant,Near Miss,Chemical installations ,,,,,,,,,
DT_1259,DateTime,,,,,2020-08-07 14:55:00,,,,,,,,
DUR_1259,Duration,,,,,,1.15972222219716,,,,,,,
STAFF_1259,FactoryStaff,,,,,,,,,,,,,
RELEASE_1259,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
SUB_1259,HazardSubstance,,,,,,,,,Hydrogen fluoride (HF) - 7644-39-3 -  ,,,,
TOXIC_1259,Toxic,,,,,,,,,,,,,
HUMANFACTOR_1259,HumanFactor,,,,,,,,,,operator error,,,
ORGANIZATIONFACTOR_1259,OrganizationFactor,,,,,,,,,,management organization inadequate,,,
ACC_717,Accident,717.0,Unconfined gas cloud explosion after terrorist action,Major Accident,Petrochemical / Oil Refineries,,,,,,,,,
DT_717,DateTime,,,,,1987-06-12 00:05:00,,,,,,,,
DUR_717,Duration,,,,,,4.9965277777992,,,,,,,
STAFF_717,FactoryStaff,,,,,,,,,,,,,
FIRE_717,Fire,,,,,,,jet flame (burning jet of fluid from orifice),,,,,,
EXPLOSION_717,Explosion,,,,,,,VCE (vapour cloud explosion; supersonic wave front),,,,,,
SUB_717,HazardSubstance,,,,,,,,,Flammable Gases -  -  ,,,,
HUMANFACTOR_717,HumanFactor,,,,,,,,,,malicious intervention,,,
ACC_1294,Accident,1294.0,Side collision between tank wagons at a refinery loading yard,Near Miss,Petrochemical / Oil Refineries,,,,,,,,,
DT_1294,DateTime,,,,,2021-10-26 06:15:00,,,,,,,,
DUR_1294,Duration,,,,,,1.67013888889778,,,,,,,
STAFF_1294,FactoryStaff,,,,,,,,,,,,,
HUMANFACTOR_1294,HumanFactor,,,,,,,,,,operator error,,,
ACC_9,Accident,9.0,Ammonia release in a brewery cooling system,Near Miss,Manufacture of food products and beverages,,,,,,,,,
DT_9,DateTime,,,,,1998-06-26 11:07:00,,,,,,,,
DUR_9,Duration,,,,,,1.21458333339979,,,,,,,
STAFF_9,FactoryStaff,,,,,,,,,,,,,
SUB_9,HazardSubstance,,,,,,,,,Ammonia - 7664-41-7 -  ,,,,
TOXIC_9,Toxic,,,,,,,,,,,,,
ORGANIZATIONFACTOR_9,OrganizationFactor,,,,,,,,,,maintenance/repair,,,
ACC_1149,Accident,1149.0,Explosion and release of substances in an explosives production plant,Near Miss,"Production, destruction and storage of explosives",,,,,,,,,
DT_1149,DateTime,,,,,2018-10-26 08:45:00,,,,,,,,
DUR_1149,Duration,,,,,,1.00347222229902,,,,,,,
STAFF_1149,FactoryStaff,,,,,,,,,,,,,
EXPLOSION_1149,Explosion,,,,,,,not known / not applicable,,,,,,
SUB_1149,HazardSubstance,,,,,,,,,Gunpowder - na -  ,,,,
EXPLOSIVEHAZARD_1149,ExplosiveHazard,,,,,,,,,,,,,
FATAL_1149,Fatality,,,,,,,,,,,1.0,,
ACC_370,Accident,370.0,Fire in a chemical compound production installation,Major Accident,General chemicals manufacture (not otherwise specified int the list),,,,,,,,,
DT_370,DateTime,,,,,2000-07-06 07:00:00,,,,,,,,
DUR_370,Duration,,,,,,1.16666666659876,,,,,,,
STAFF_370,FactoryStaff,,,,,,,,,,,,,
SUB_370,HazardSubstance,,,,,,,,,polyvinyl chloride - 9002-86-2 -   Hydrogen chloride - 7647-01-0 -  ,,,,
TOXIC_370,Toxic,,,,,,,,,,,,,
ACC_576,Accident,576.0,Intoxicatio of workers from release of a hydrogen fluoride pipeline,Major Accident,General chemicals manufacture (not otherwise specified int the list),,,,,,,,,
DT_576,DateTime,,,,,2005-09-30 09:00:00,,,,,,,,
DUR_576,Duration,,,,,,1.00347222219716,,,,,,,
STAFF_576,FactoryStaff,,,,,,,,,,,,,
RELEASE_576,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
SUB_576,HazardSubstance,,,,,,,,,hydrogen-fluoride - 7664-39-3 -  ,,,,
TOXIC_576,Toxic,,,,,,,,,,,,,
ORGANIZATIONFACTOR_576,OrganizationFactor,,,,,,,,,,"organized procedures
supervision
process analysis
isolation of equipment/system",,,
ACC_401,Accident,401.0,Release of arsenic(III)oxide at an ammonia plant,Major Accident,Petrochemical / Oil Refineries,,,,,,,,,
DT_401,DateTime,,,,,2004-08-16 23:00:00,,,,,,,,
DUR_401,Duration,,,,,,1.39583333340124,,,,,,,
STAFF_401,FactoryStaff,,,,,,,,,,,,,
SUB_401,HazardSubstance,,,,,,,,,"arsenic(V)oxide, arsenic(V)acid and/or its salts - 1303-28-2 -   arsenic(III)oxide, arsenic(III)acid and/or its salts - 1327-53-3 -  ",,,,
ACC_490,Accident,490.0,Explosions and tank fire in a sugar factory after tests on the pumping system,Major Accident,Manufacture of food products and beverages,,,,,,,,,
DT_490,DateTime,,,,,2001-09-03 16:42:00,,,,,,,,
DUR_490,Duration,,,,,,1.11666666669771,,,,,,,
STAFF_490,FactoryStaff,,,,,,,,,,,,,
SUB_490,HazardSubstance,,,,,,,,,ethanol - 64-17-5 - 1300.00000,,,,
FLAMMABLE_490,Flammable,,,,,,,,,,,,,
ACC_830,Accident,830.0,Release and small flash fire of a isobutane leak with HF traces occurred in a HF alkylation unit,Major Accident,Petrochemical / Oil Refineries,,,,,,,,,
DT_830,DateTime,,,,,1990-12-11 12:00:00,,,,,,,,
DUR_830,Duration,,,,,,0.5,,,,,,,
STAFF_830,FactoryStaff,,,,,,,,,,,,,
RELEASE_830,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
FIRE_830,Fire,,,,,,,"flash fire (burning vapour cloud, subsonic flame front)",,,,,,
PROCESSEQUIPMENT_830,ProcessEquipment,,,,,,,,general pipework/flanges,,,,,
SUB_830,HazardSubstance,,,,,,,,,Hydrogen Fluoride - 7664-39-3 -   Isobutane - 00106-97-8; 00075-28 - 2.50000,,,,
TOXIC_830,Toxic,,,,,,,,,,,,,
FLAMMABLE_830,Flammable,,,,,,,,,,,,,
PLANTEQUIPMENTFACTOR_830,PlantEquipmentFactor,,,,,,,,,,corrosion/fatigue,,,
ORGANIZATIONFACTOR_830,OrganizationFactor,,,,,,,,,,design of plant/equipment/system,,,
INJ_830,Injury,,,,,,,,,,,1.0,,
ACC_1215,Accident,1215.0,Leak from a hydrocarbon storage tank,Major Accident,"Fuel storage (including heating, retail sale, etc.)",,,,,,,,,
DT_1215,DateTime,,,,,2017-05-17 00:00:00,,,,,,,,
DUR_1215,Duration,,,,,,3.0,,,,,,,
STAFF_1215,FactoryStaff,,,,,,,,,,,,,
RELEASE_1215,Release,,,,,,,fluid release to ground,,,,,,
SUB_1215,HazardSubstance,,,,,,,,,DIESEL FUEL - 68476-34-6 - 33.00000,,,,
TOXIC_1215,Toxic,,,,,,,,,,,,,
FLAMMABLE_1215,Flammable,,,,,,,,,,,,,
PLANTEQUIPMENTFACTOR_1215,PlantEquipmentFactor,,,,,,,,,,corrosion/fatigue,,,
HUMANFACTOR_1215,HumanFactor,,,,,,,,,,other,,,
ORGANIZATIONFACTOR_1215,OrganizationFactor,,,,,,,,,,"management organization inadequate
supervision
maintenance/repair
testing/inspecting/recording",,,
ACC_109,Accident,109.0,Fire in a warehouse for finished products in a chemical plant,Major Accident,General chemicals manufacture (not otherwise specified int the list),,,,,,,,,
DT_109,DateTime,,,,,2016-07-04 04:50:00,,,,,,,,
DUR_109,Duration,,,,,,0.798611111102218,,,,,,,
STAFF_109,FactoryStaff,,,,,,,,,,,,,
FIRE_109,Fire,,,,,,,conflagration (a general engulfment fire),,,,,,
ACC_35,Accident,35.0,Overfill of a hexene storage tank in discharging a ship,Near Miss,"Handling and transportation centres (ports, airports, lorry parks, marshalling yards, etc.)",,,,,,,,,
DT_35,DateTime,,,,,2001-08-23 12:15:00,,,,,,,,
DUR_35,Duration,,,,,,1.11805555549654,,,,,,,
STAFF_35,FactoryStaff,,,,,,,,,,,,,
RELEASE_35,Release,,,,,,,fluid release to ground,,,,,,
SUB_35,HazardSubstance,,,,,,,,,hexene - 592-41-6 - 500.00000,,,,
FLAMMABLE_35,Flammable,,,,,,,,,,,,,
PLANTEQUIPMENTFACTOR_35,PlantEquipmentFactor,,,,,,,,,,instrument/control/monitoring-device failure,,,
HUMANFACTOR_35,HumanFactor,,,,,,,,,,operator error,,,
ORGANIZATIONFACTOR_35,OrganizationFactor,,,,,,,,,,"organized procedures
testing/inspecting/recording",,,
ACC_736,Accident,736.0,Rupture of a gas scrubbing tower caused by the overflow of a trimethylamine tank,Major Accident,Manufacture of food products and beverages,,,,,,,,,
DT_736,DateTime,,,,,1997-01-13 20:03:00,,,,,,,,
DUR_736,Duration,,,,,,1.12291666660167,,,,,,,
STAFF_736,FactoryStaff,,,,,,,,,,,,,
RELEASE_736,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
PROCESSEQUIPMENT_736,ProcessEquipment,,,,,,,,container; non-ambient temperature (refrigerated or heated),,,,,
SUB_736,HazardSubstance,,,,,,,,,ethylene oxide - 75-21-8 -   hydrogen chloride - 7647-01-01 - 2.00000 trimethylamine (anhydrous) - 75-50-3 -   trimethylamine hydrochloride - 593-81-7 - 0.55000 acetone - 67-64-1 -  ,,,,
TOXIC_736,Toxic,,,,,,,,,,,,,
FLAMMABLE_736,Flammable,,,,,,,,,,,,,
PLANTEQUIPMENTFACTOR_736,PlantEquipmentFactor,,,,,,,,,,loss of process control,,,
HUMANFACTOR_736,HumanFactor,,,,,,,,,,operator error,,,
ACC_1068,Accident,1068.0,Explosion and Fire,Major Accident,"Production, destruction and storage of explosives",,,,,,,,,
DT_1068,DateTime,,,,,2017-02-23 11:20:00,,,,,,,,
DUR_1068,Duration,,,,,,1.02777777780284,,,,,,,
STAFF_1068,FactoryStaff,,,,,,,,,,,,,
RELEASE_1068,Release,,,,,,,"solid release to air
solid release to ground",,,,,,
FIRE_1068,Fire,,,,,,,conflagration (a general engulfment fire),,,,,,
EXPLOSION_1068,Explosion,,,,,,,explosive decomposition (of unstable material),,,,,,
PLANTEQUIPMENTFACTOR_1068,PlantEquipmentFactor,,,,,,,,,,"vessel/container/containment-equipment failure
corrosion/fatigue",,,
INJ_1068,Injury,,,,,,,,,,,23.0,,
ACC_275,Accident,275.0,HCl cloud release caused by an operator error and a leaking automatic valve,Other Event,General chemicals manufacture (not otherwise specified int the list),,,,,,,,,
DT_275,DateTime,,,,,2002-12-17 00:00:00,,,,,,,,
DUR_275,Duration,,,,,,1.0,,,,,,,
STAFF_275,FactoryStaff,,,,,,,,,,,,,
SUB_275,HazardSubstance,,,,,,,,,hydrogen chloride - 7647-01-0 -   titanium tetrachloride - 7550-45-0 -  ,,,,
TOXIC_275,Toxic,,,,,,,,,,,,,
HUMANFACTOR_275,HumanFactor,,,,,,,,,,operator error,,,
ORGANIZATIONFACTOR_275,OrganizationFactor,,,,,,,,,,"organized procedures
training/instruction",,,
ACC_7,Accident,7.0,Accident during tank cleaning and maintenance,Major Accident,Other activity (not otherwise specified int the list),,,,,,,,,
DT_7,DateTime,,,,,2009-03-27 12:30:00,,,,,,,,
DUR_7,Duration,,,,,,1.00694444450346,,,,,,,
STAFF_7,FactoryStaff,,,,,,,,,,,,,
FIRE_7,Fire,,,,,,,not known / not applicable,,,,,,
EXPLOSION_7,Explosion,,,,,,,not known / not applicable,,,,,,
PROCESSEQUIPMENT_7,ProcessEquipment,,,,,,,,"container; non-pressurised (hopper, tank, drum, bag, etc.)",,,,,
PLANTEQUIPMENTFACTOR_7,PlantEquipmentFactor,,,,,,,,,,electrostatic accumulation,,,
ORGANIZATIONFACTOR_7,OrganizationFactor,,,,,,,,,,"process analysis
maintenance/repair",,,
INJ_7,Injury,,,,,,,,,,,1.0,,
ACC_981,Accident,981.0,Explosion and release of substances in the waste water treatment plant of an electro-plating installation,Major Accident,Processing of metals using electrolytic or chemical processes,,,,,,,,,
DT_981,DateTime,,,,,2007-06-16 03:30:00,,,,,,,,
DUR_981,Duration,,,,,,1.85069444450346,,,,,,,
STAFF_981,FactoryStaff,,,,,,,,,,,,,
RELEASE_981,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
EXPLOSION_981,Explosion,,,,,,,runaway reaction explosion (usually exothermic),,,,,,
SUB_981,HazardSubstance,,,,,,,,,Sodium hypochlorite - 7681-52-9 -   Hydrogen peroxide - 8007-3-5 -   Hydrogen chloride - 7647-01-0 -   Cyanide - 74-90-8 -  ,,,,
ACC_1192,Accident,1192.0,Fire in a rolling bearing manufacturing plant,Major Accident,"General engineering, manufacturing and assembly",,,,,,,,,
DT_1192,DateTime,,,,,2019-10-22 13:20:00,,,,,,,,
DUR_1192,Duration,,,,,,1.1944444444016,,,,,,,
STAFF_1192,FactoryStaff,,,,,,,,,,,,,
FIRE_1192,Fire,,,,,,,not known / not applicable,,,,,,
PLANTEQUIPMENTFACTOR_1192,PlantEquipmentFactor,,,,,,,,,,component/machinery failure/malfunction,,,
INJ_1192,Injury,,,,,,,,,,,1.0,,
ACC_833,Accident,833.0,Release of natural gas during the filling of a lift spirally guided water sealed gas holder,Major Accident,"Power generation, supply and distribution ",,,,,,,,,
DT_833,DateTime,,,,,1990-12-22 01:00:00,,,,,,,,
DUR_833,Duration,,,,,,0.958333333299379,,,,,,,
STAFF_833,FactoryStaff,,,,,,,,,,,,,
RELEASE_833,Release,,,,,,,gas/vapour/mist/etc release to air,,,,,,
STORAGEEQUIPMENT_833,StorageEquipment,,,,,,,,"container; non-pressurised (hopper, tank, drum, bag, etc.)",,,,,
