Accident ID,Event Type,Industry Type,Accident Description,Domino Effects,Natech Events,Transboundary Effects,Contractors,Release Major Occurrences,Release Initiating Event,Fire Major Occurences,Fire Initiating Events,Explosion Major Occurences,Explosion Initiating Events,Transport Major Occurences,Transport Initiating Events,Accident Description - Other,Substance Classification,Causes of the accident,Plant/Equipment Causative Factor Type,Human,Organizational Causative Factor Type,External Causes,Causes - Other,Theme of the Lessons Learned,Lesson Learned
16,Major Accident,General chemicals manufacture (not otherwise specified int the list),"Explosion of a leach tank, causes not known until now, two fatalities",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,Since the actual cause is still not known there is still the assumption of a hydrgen ignition during welding works,,,,,,,Not enough knowledge about the causes 
17,Major Accident,"Production, destruction and storage of explosives","Explosion in a production plant for explosive material; happened in the mixing unit for dynamite. The unit was completely destroyed, two workers dead.",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,04. EXPLOSIVE - note 2(a),Suspected cause human failure during mixing process,,,,,,"Causes - Human
Other","Not clear what the direct causes of the explosion were - the company had been warned to be overdue with the submission of the safety report, a first draft was presented the day before"
20,Major Accident,Processing of metals,"SYSTEM ORIGINATING AND OPERATING CONDITIONS:
Storage area of the second cold rolling mill's pickling section.

ACCIDENT CASE HISTORY DESCRIPTION:
In a sodium hypochlorite transfer tank, an unknown amount of sodium hypochlorite flowed into the overfilling pipe owing to the blockage of the float valve (due to the presence of crystals) that controlled the level in the tank. Therefore, when the level reached the maximum value, the valve did not stop the pump. The overfilling pipe was connected with a tank installed below, covered with a metal grid, which was containing water, nitric acid and hydrogen fluoride. The reaction of the sodium hypochlorite with the two acids produced chlorine gas and probably fluoride gas. The release occurred at 08:45 am. In the area there were 6 employees and each of them noticed a strong smell of chlorine and left the building as soon as possible. The security department was immediately alerted which in turn alerted the medical service and the management. A 4 men rescue team was formed and instructed to enter the pickling section to check if someone was still there. They were also instructed to switch-off the equipment. The rescue team found that the sodium hydroxide transfer tank had overflowed and the liquid had run into the tank below containing water, nitric acid and hydrogen fluoride. The pump which was transferring the sodium hypochloryte from the storage tank to the transfer tank had already stopped. Since chlorine gas is heavier than air, it was expected that it would take some time for the chlorine vapours to disperse from the building. At about 17:00 hours the production was started up again since no more than 1ppm concentration of chlorine could be detected in the production hall by means of Draeger tubes.",FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"01. VERY TOXIC
02. TOXIC
03. OXIDIZING
09 i. DANGEROUS FOR THE ENVIRONMENT - R50","INITIATING EVENT AND CONSEQUENCES:
In a sodium hypochlorite transfer tank, an unknown amount of sodium hypochlorite flowed into the overfilling pipe owing to the blockage of the float valve (due to the presence of crystals) that controlled the level in the tank. The overfilling pipe was connected with a tank installed below, covered with a metal grid, which was containing water, nitric acid and hydrogen fluoride. The reaction of the sodium hypochlorite (a very strong oxidizing agent) with the two acids produced chlorine gas (by oxidation of chlorides) and probably fluoride gas (by oxidation of fluorides) but there is no evidence of it.

CAUSES:
In a sodium hypochlorite transfer tank, an unknown amount of sodium hypochlorite flowed into the overfilling pipe owing to the blockage of the float valve (due to the presence of crystals) that controlled the level in the tank. Therefore, when the level reached the maximum value, the valve did not stop the pump (the control had only temporarily jammed since the rescue team found that the pump had automatically stopped). The overfilling pipe was connected with a tank installed below, covered with a metal grid, which was containing water, nitric acid and hydrogen fluoride. The reaction of the sodium hypochlorite (a very strong oxidizing agent) with the two acids produced chlorine gas (by oxidation of chlorides) and probably fluoride gas (by oxidation of fluorides) but there is no evidence of it.
Besides, the emergency level (i.e. the level at which the stop signal was given to the transfer pump) was too close to the overfilling pipe. This, together with the excessive length (about 75 metres) of the piping between the pump and the transfer tank, may cause the tank overfilling even if the pump stops when the liquid reaches the emergency level.
Finally, the overfilling pipe from the transfer tank was erroneously connected (due to inadequate process analysis and plant design) with the tank below which may contain acids.Remarks: No data are
available about the amount of released sodium hypochlorite and of
nitric acid and hydrogen fluoride contained in the transfer tank. Also
no data are available about the amount of the chlorine gas formed by
the reaction of sodium hypochlorite with nitric acid and hydrogen
fluoride.","instrument/control/monitoring-device failure
unexpected reaction/phase-transition",,"process analysis
design of plant/equipment/system",,,,
21,Major Accident,Petrochemical / Oil Refineries,"ACCIDENT CASE HISTORY DESCRIPTION:
During the start-up, an explosion occurred in the redistillation column of the ethylene oxide plant which came into operation in 1969 in a petrochemical industry. This plant had been shut-down in June from 1 to 23. When it was started up problems were experienced in stabilizing the column and a number of repairs were made to the pumps and instrumentation. On the day of the explosion, the column was sufficiently stable. When the explosion occurred all the employees were by chance in the control room. No alarm signals sounded during the last 30 minutes before the explosion occurred except the general alarm that sounded a few seconds before. Despite of the difficult internal communication caused by the destruction of the internal telephone and alarm systems and the emergency control centre, the operators started to shut-down the other plants of the factory and to fight the fire. The external emergency services and the authorities were informed on the accident and the emergency plan for the Antwerp harbour was activated. The emergency services arrived on site in 10 minutes and with the help of the factory's operators put out the fire and the release of chemicals within half an hour. 13 operators (two of them were of an external factory working for BP Chemicals) and a person outside the establishment (working in a neighbouring factory) were slightly hurt. The most serious injury was a broken arm. There were considerable damages inside the establishment: the redistillation column (32 metres high and 2.3 metres in diameter) was completely destroyed and pieces were found up to 700 metres away, some in a neighbouring factory. The ethylene oxide plant and other nearby plants were seriously damaged. Most of the buildings in a radius of 300 metres were damaged. The internal alarm and telephone systems were damaged and could not be used. The emergency control room was also unusable. Outside the establishment, window panes were broken in neighbouring factories and the nearby village of Zwijndrecht (about 1 km away). Nobody was hurt in the village.",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,"06. FLAMMABLE - note 3(a)
00. NAMED SUBSTANCE","CAUSES:
The accident was caused by the decomposition of ethylene oxide at the base section of the redistillation column. There are two possible causes for this accident:
1- a leak of ethylene oxide from a flange that had been insulated during shut-down. During the start-up, the released ethylene oxide reacted exothermically with the binders of the lagging and this caused a temperature increase that ignited the ethylene oxide;
2. the development of a hot spot in a quiescent area of the column caused by the polymerization of ethylene oxide catalysed by rust deposits (this is less likely because no conclusive evidence of it was found).",,,,,,,"MEASURES
TO PREVENT ANY RECURRENCE OF SIMILAR ACCIDENTS:
After the accident, the following measures were established:
1- flanges must not be insulated. If insulation was necessary, the
insulation material had to be checked on a possible reaction with
ethylene oxide. Use of proper gaskets for flanges;
2- all pipeworks and pieces of equipment that may contain rust must be
cleaned and inspected before restarting the installation.
MEASURES TO MITIGATE THE EFFECTS OF THE ACCIDENT:
After the accident, the following measures were established:
1- improvement of both communication and alarm systems;
2- installation of a second control room to be used in emergency
situations;
3- modifications of the access system;
4- revision of the internal emergency plan including a better method of
identifying people on-site;
5- additional access road to the establishment;
6- improvement of the existing supply for fire fighting water. ;"
22,Major Accident,General chemicals manufacture (not otherwise specified int the list),"ACCIDENT CASE HISTORY DESCRIPTION:
A corroded pipe in the degassing system ruptured after the wrong admission of liquid vinyl chloride and a leakage of about 4 tonnes of this substance occurred before its isolation. A layer of the escaped gas developped close to the drain ditches of the area where the leakage occurred. The vinyl chloride vapours, being 2.5 times heavier than air, remained closed to the ground. The slightly elevated rails of the railway serving the area acted initially as a dike and contained the gas cloud. Atmospheric conditions and  water curtains created by the plant fire brigade managed to contain the cloud close to the leakage point until it had been diluted by convection. The evaporation of liquid vinyl chloride had been promoted by the water draining from the water curtains. The source of the release was identified 45 minutes after the leakage was detected; the leaking pipeline was isolated soon after that. The company firemen checked the roads around the factory with explosimeters and the response was negative everywhere. Besides, they irrigated the area where the leakage occurred and made a screen from each side. The Security chief called Service 100 to signal the leak and to ask the firemen to take up position around the factory in case gas layer moved to the outside. Sambreville fire brigade was called and took position around the plant fence on the side opposite the site of the leak but its intervention was not necessary, since repeated gas concentration measuremets at the boundary of the factory resulted negative. The railway traffic in the city of Jemeppe was interrupted during the accident, from 23:32 till 03:08 next morning. The goods trains were stopped where they were whilst the international traffic was diverted via Brussels. The leakage had been detected at 23:10, the leaking point had been identified at 23:55 and the piping isolation took place around 00:05. From this moment, the leakage was decreasing until the gas cloud was practically dispersed at 01:30. More detailed information about the accident are available on the document "" Accident which occurred on 17th August, 1988 at the SOLVIC monomer Centre at Jemeppe-sure-Sambre. Leak of liquid vinyl chloride. ",FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,"A handling error (code 5401) allowed liquid vinyl chloride to be admitted in the degassing collector. The pipe had been filled with liquid vinyl chloride at a pressure of 9-10 bar and it ruptured (code 5102) at a weak point that has been developed due to a corrosion phenomenon (code 5104). The underlying causes that led to the accident were insufficient testing/inspection procedures together with inadequate process analysis and design plant (codes 5303, 5307 and 5308).",corrosion/fatigue,,"process analysis
design of plant/equipment/system
testing/inspecting/recording",,,,"Measures to prevent recurrence: After the accident, the following measures were established:
1- improved training for operators;
2- improved inspections procedures;
3- pipes in a gas service and in a degassing system to be equipped with liquid traps and to be installed in such a way to make visible inspection possible.Measures to mitigate consequences: After the accident, the following measures were established:
1- the plant drawings to be reviewed to determine the consequences of any maloperation, ensure rapid detection and check the efficiency of emergency measures;
2- simple and efficient emergency response procedures to be developed for all operations;
3- the number of  gas detectors to be increased.Useful references: More detailed information about the accident are available on the document "" Accident which occurred on 17th August, 1988 at the SOLVIC monomer Centre at Jemeppe-sure-Sambre. Leak of liquid vinyl chloride. ANALYTICAL INFORMATION"" attached to the Original Report."
23,Major Accident,Petrochemical / Oil Refineries,"ACCIDENT CASE HISTORY DESCRIPTION:
Ethylene oxide leaked through a hair-crack in a weld on the distillation column K-303 (aldehyde column) and contaminated the rock-wool insulation of a level indicator. The leak was caused by a hair-crack due to low cycle fatigue. The released ethylene oxide reacted with moisture to form non-volatile polyethylene glycols (PEG) in the insulation material. PEG accumulated in the course of time. On the day of the accident, the metal covering of the insulation was removed in order to repair the level indicator. Air leaked into the insulation material already soaked with PEG, causing its decomposition and initiating auto-oxidation. The auto-oxidation of the PEG ignited the insulation and the resulting heat flux heated the metal wall of the piping of the level instrumentation system. The heating of the stagnant liquid of the level instrument stand pipe caused the ethylene oxide to decompose. The decomposition continued into the column K-303 which exploded (the confined vapour explosion began in the lower section of the column). The gas supply line to column K-302 (carrying gases from the head of column K-303) was torn off and the escaping gas caught fire. After the pressure decreased, the flames backed into the column K-302 and caused an internal explosion (approximately 26 seconds after the first explosion). The two explosions caused the impact of debris in other sections of the ethylene oxide/glycol installation and was followed by a huge fire. The recycle gas loop was hit by debris and the released gas burned as a jet-fire. The plant fire fighting team was able to confine the fire and to put it under control in less than one hour. The city fire brigade arrived on the scene but its intervention was not necessary.",FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,VCE (vapour cloud explosion; supersonic wave front),,,,08. EXTREMELY FLAMMABLE - note 3(c),"CAUSES:
Ethylene oxide leaked through a hair-crack in a weld on the
distillation column K-303 (aldehyde column) and contaminated the
rock-wool insulation of a level indicator. The leak was caused by a
hair-crack due to low cycle fatigue. The released ethylene oxide
reacted with moisture to form non-volatile polyethylene glycols (PEG)
in the insulation material. PEG accumulated in the course of time. On
the day of the accident, the metal covering of the insulation was
removed in order to repair the level indicator. Air leaked into the
insulation material already soaked with PEG, causing its decomposition
and initiating auto-oxidation. The auto-oxidation of the PEG ignited
the insulation and the resulting heat flux heated the metal wall of the
piping of the level instrumentation system. The heating of the stagnant
liquid of the level instrument stand pipe caused the ethylene oxide to
decompose. It must be underlined that the use of a non-absorbing
insulation material with a high specific surface area, the insufficient
in-depth inspections for leaks and also for the possible existence of
any accumulation of polyethylene glycols (PEG) and the lack of
inertization of parts of the equipment where stagnant zones of ethylene
oxide/water mixtures may be created (e.g. instrumentation stand pipes)
by means of continuous nitrogen purging was caused by inadequate
process analysis, design plant and inspection procedures.","corrosion/fatigue
unexpected reaction/phase-transition",,"organized procedures
process analysis
design of plant/equipment/system",,,"Causes - Plant/Equipment
Causes - Organisational","Measures to prevent recurrence: After the accident, the following measures were established:
1- use of a non-absorbing insulation material with a small specific surface area;
2- in-depth inspection for leaks and also for the possible existence of any accumulation of polyethylene glycols (PEG);
3- inertization of parts of the equipment where stagnant zones of ethylene oxide/water mixtures may be created (e.g. instrumentation stand pipes) by means of continuous nitrogen purging."
24,Major Accident,Petrochemical / Oil Refineries,The incident occurred in the cracking unit and in the recuperating sulphur system of the refinery. The plant was built in 1974. The last shut down for a complete revision was in 1989. During those maintenance works it was changed a curve of the gas recycle system due to its corrosion. Other curves in the same piping were not corroded. In the period between the years 1989 and 1992 the thickness of the tube was regularly measured and never was found an abnorma corrosion. Results of investigations showed it was a spontaneous rupture in the curve. Through the hole in the curve the escaped gas exploded  and took fire. A large part of the plant was destroyed. The fire was mainly petroleum derived. The smoke cloud was not toxic.,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"01. VERY TOXIC
08. EXTREMELY FLAMMABLE - note 3(c)
00. NAMED SUBSTANCE",not given,,,,,,Causes - Plant/Equipment,The installation will be rebuilt. The use of 90° curves will be restricted. The gas speed will be decreased by increasing the tube diameter.
26,Major Accident,Plastic and rubber manufacture,Unexpected raise of pressure due to closure of venting system. The formation of phenol-formaldehyde resins in batch reactors is known for potential runaway reactions.,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,,,,,"02. TOXIC
00. NAMED SUBSTANCE",An operator error due to user unfriendliness components and insufficient training lead to unexpected reaction and emission of resins (runaway reactions).,"vessel/container/containment-equipment failure
runaway reaction",,"management organization inadequate
organized procedures
training/instruction
design of plant/equipment/system
user-unfriendliness (apparatus, system, etc.)",,,,"-Better education, instructions plus evaluation systems. -Measures to prevent and to detect early stages run-away. -New blow down system.Measures to mitigate consequences: Installation of catchment tankUseful references: The British Plastics Federation.- Thermosetting Materials Group ""Guidelines for the Safe  Production of Phenolic Resins""."
27,Major Accident,General chemicals manufacture (not otherwise specified int the list),not given,FALSE,FALSE,FALSE,FALSE,gas/vapour/mist/etc release to air,,,,,explosive decomposition (of unstable material),,,,"02. TOXIC
00. NAMED SUBSTANCE",Reaction of impurities due to concentration in the liquid phase.,"vessel/container/containment-equipment failure
unexpected reaction/phase-transition",,"design of plant/equipment/system
testing/inspecting/recording",,Yes,"Causes - Plant/Equipment
Causes - Organisational
Emergency Response","Actions to avoid concentration of impuritiesMeasures to prevent recurrence: Improvement of procedures: assessment of suppliers
                                         analytical results
                                         minimum liquid chlorine in rail carMeasures to mitigate consequences: Evaluation of external plan"
28,Major Accident,Petrochemical / Oil Refineries,A fire in the gasoline merox section of the fluid catalytic cracking unit appeared during shut down of the unit.,FALSE,FALSE,FALSE,FALSE,,,conflagration (a general engulfment fire),,,,,,,"06. FLAMMABLE - note 3(a)
00. NAMED SUBSTANCE","(1) The fire water was contaminated with gasoline due to violation of procedures (back-flow through a nose, connecting a hydrant and a drum)                                     
 (2) No safety advice during contract negotiations for renting the mobile pump. The Internal Emergency Plan was activated (code 7100). Gaz de France put in operation the safety resources (personnel and materials [code 7201]) available at Beynes (Yvelines). The release was halted with the assistance of a specialized contractor (code 7205) called in by the manufacturer, who covered the escape source with sludge and brought the bar to its original position by increasing the loading on it (code 7501). The External Emergency Plan was activated and the Authorities were alerted (code 7200). The Fire Brigade was mobilized but its intervention was not necessary (code 7201). The Police (code 7203) kept curious people away at a safe distance of 300m (code 7207). No emergency measures are still required, neither on-site nor off-site (code 7703).",,operator error,"management organization inadequate
organized procedures
training/instruction
design of plant/equipment/system",,,Causes - Organisational,"* New restricted procedure on use of fire water
* Review of the purchasing - processes
* Better procedures to be followed during shut-down."
29,Major Accident,General chemicals manufacture (not otherwise specified int the list),"A leak in a pipeline caused the release of hydrogen fluoride (HF) in a compartment of a process building. 2 contractors, doing a painting job in this compartment, were directly affected. When the two painters left the compartment, some hydrogen fluoride spread into a passage way, which served as an air lock. When the building was evacuated 12 other contractors passed through the air lock, and were possibly exposed to hydrogen fluoride.",FALSE,FALSE,FALSE,TRUE,gas/vapour/mist/etc release to air,,,,,,,,,01. VERY TOXIC,"The leak was caused by corrosion near a weld, due to presence of water. The pipes where constructed of carbon steel, which is a satisfactory material for anhydrous hydrogen fluoride. However, it cannot resist hydrogen fluoride contaminated with water.
The water originated from the vacuum system, which had two possible sources of water: steam under high pressure and the water used in the spray condensor.",corrosion/fatigue,,,,,Causes - Plant/Equipment,"When hydrogen fluoride can be contaminated by water, carbon steel is not an acceptable construction material. 
The company will use piping with a protective teflon lining. 
The concept of the vacuum system was not optimal. A better alternative for the spray condensor is a closed condensor. A closed condensor will not serve as a source of water (humidity).
The company was aware of the risk of corrosion due to water contamination. The company intended to replace the carbon steel pipes by pipes with a protecti"
30,Other Event,Petrochemical / Oil Refineries,"The circulation pump of the HDPE-reactor fails operating, the reaction is stopped with carbon monoxide and the reactor content dumped. The reaction stopping efficiency was poor and the reactor becomes blocked and needs to be turned hydrocarbon-free through purging with nitrogen. It was very difficult to remove the hydrocarbons which resulted in long purging. Once the plugs were removed and the reactor was assembled again, on leak-tested the reactor prior to start-up.  During this leak-testing there was observed a large crack in one of the reactor flanges.",FALSE,FALSE,FALSE,FALSE,"gas/vapour/mist/etc release to air
not known / not applicable",,not known / not applicable,,not known / not applicable,,,,Yes,08. EXTREMELY FLAMMABLE - note 3(c),"The selected material. For the unit carbon steel A 105 was used, this steel has an application range down to -29°C according to ASME (section VII, division 1) without a check on toughness.Comment on organizational factor: ; the material standard did not foresee a test to confirm low temperature duty. ; After the near miss a better material spec was chosen (see short report for more details).",vessel/container/containment-equipment failure,,design of plant/equipment/system,,,Causes - Plant/Equipment,"Measures to prevent recurrence: Replacement of the 10 flanges of the reactor. New flanges are made of ASTM A 350 steel.  These certificates of analysis giving more details than the one on ASTM A 105 (material out of which the old flanges were made). The impact data of CS A 105 are not quoted on the the certificate of
analysis. Hence there is no control over the minimum temperature
statement of -29°C of ASME. ; The brittle fracture on CS A 105 (on the
bottom of the reactor) remains a possibility in the future, so the
company replaced these flanges with flanges manufactured from ASTM
A305. ; The certificate of analysis of ASTM A 350 steel gives more
details including impact test values and manufacturing temperature
details.Useful references: Perry's Chemicals Engineering Handbook, 6th edition, Pressure Vessels 6-117 to 6-118."
