src_id,rel_type,tgt_id
STAFF_2,PERFORMED,ACC_2
ACC_2,HAS_OCCURRENCE,RELEASE_2
ACC_2,HAS_OCCURRENCE,FIRE_2
ACC_2,INVOLVES,SUB_2
HUMANFACTOR_2,TRIGGERS,ACC_2
ACC_1112,OCCURRED_ON,DT_1112
ACC_1112,LASTED_FOR,DUR_1112
STAFF_1112,PERFORMED,ACC_1112
ACC_1112,HAS_OCCURRENCE,FIRE_1112
ACC_1112,INVOLVES,SUB_1112
PLANTEQUIPMENTFACTOR_1112,TRIGGERS,ACC_1112
ACC_139,OCCURRED_ON,DT_139
ACC_139,LASTED_FOR,DUR_139
CON_139,PERFORMED,ACC_139
ACC_139,HAS_OCCURRENCE,FIRE_139
ACC_139,HAS_OCCURRENCE,EXPLOSION_139
ACC_139,OCCURRED_AT,STORAGEEQUIPMENT_139
ACC_139,OCCURRED_AT,PROCESSEQUIPMENT_139
ACC_139,OCCURRED_AT,TRANSFEREQUIPMENT_139
PLANTEQUIPMENTFACTOR_139,TRIGGERS,ACC_139
HUMANFACTOR_139,TRIGGERS,ACC_139
ORGANIZATIONFACTOR_139,TRIGGERS,ACC_139
ACC_139,LEADS_TO,FATAL_139
ACC_139,LEADS_TO,INJ_139
ACC_21,OCCURRED_ON,DT_21
ACC_21,LASTED_FOR,DUR_21
STAFF_21,PERFORMED,ACC_21
ACC_21,INVOLVES,SUB_21
SUB_21,HAS_HAZARD,FLAMMABLE_21
ACC_21,LEADS_TO,INJ_21
ACC_594,OCCURRED_ON,DT_594
ACC_594,LASTED_FOR,DUR_594
STAFF_594,PERFORMED,ACC_594
ACC_594,HAS_OCCURRENCE,RELEASE_594
ACC_594,HAS_OCCURRENCE,EXPLOSION_594
ACC_594,OCCURRED_AT,STORAGEEQUIPMENT_594
ACC_594,INVOLVES,SUB_594
SUB_594,HAS_HAZARD,EXPLOSIVEHAZARD_594
SUB_594,HAS_HAZARD,FLAMMABLE_594
SUB_594,HAS_HAZARD,OXIDIZING_594
PLANTEQUIPMENTFACTOR_594,TRIGGERS,ACC_594
HUMANFACTOR_594,TRIGGERS,ACC_594
ORGANIZATIONFACTOR_594,TRIGGERS,ACC_594
ACC_594,LEADS_TO,FATAL_594
ACC_594,LEADS_TO,INJ_594
ACC_779,OCCURRED_ON,DT_779
ACC_779,LASTED_FOR,DUR_779
STAFF_779,PERFORMED,ACC_779
ACC_779,HAS_OCCURRENCE,RELEASE_779
ACC_779,OCCURRED_AT,PROCESSEQUIPMENT_779
ACC_779,INVOLVES,SUB_779
SUB_779,HAS_HAZARD,TOXIC_779
PLANTEQUIPMENTFACTOR_779,TRIGGERS,ACC_779
ACC_1001,OCCURRED_ON,DT_1001
ACC_1001,LASTED_FOR,DUR_1001
STAFF_1001,PERFORMED,ACC_1001
ACC_1001,HAS_OCCURRENCE,RELEASE_1001
ACC_1001,INVOLVES,SUB_1001
SUB_1001,HAS_HAZARD,FLAMMABLE_1001
PLANTEQUIPMENTFACTOR_1001,TRIGGERS,ACC_1001
ACC_479,OCCURRED_ON,DT_479
ACC_479,LASTED_FOR,DUR_479
STAFF_479,PERFORMED,ACC_479
ACC_479,INVOLVES,SUB_479
SUB_479,HAS_HAZARD,TOXIC_479
ACC_692,OCCURRED_ON,DT_692
ACC_692,LASTED_FOR,DUR_692
STAFF_692,PERFORMED,ACC_692
ACC_692,HAS_OCCURRENCE,RELEASE_692
ACC_692,INVOLVES,SUB_692
SUB_692,HAS_HAZARD,FLAMMABLE_692
HUMANFACTOR_692,TRIGGERS,ACC_692
ACC_735,OCCURRED_ON,DT_735
ACC_735,LASTED_FOR,DUR_735
STAFF_735,PERFORMED,ACC_735
ACC_735,HAS_OCCURRENCE,RELEASE_735
ACC_735,OCCURRED_AT,STORAGEEQUIPMENT_735
ACC_735,INVOLVES,SUB_735
SUB_735,HAS_HAZARD,TOXIC_735
PLANTEQUIPMENTFACTOR_735,TRIGGERS,ACC_735
ORGANIZATIONFACTOR_735,TRIGGERS,ACC_735
ACC_735,LEADS_TO,INJ_735
ACC_1259,OCCURRED_ON,DT_1259
ACC_1259,LASTED_FOR,DUR_1259
STAFF_1259,PERFORMED,ACC_1259
ACC_1259,HAS_OCCURRENCE,RELEASE_1259
ACC_1259,INVOLVES,SUB_1259
SUB_1259,HAS_HAZARD,TOXIC_1259
HUMANFACTOR_1259,TRIGGERS,ACC_1259
ORGANIZATIONFACTOR_1259,TRIGGERS,ACC_1259
ACC_717,OCCURRED_ON,DT_717
ACC_717,LASTED_FOR,DUR_717
STAFF_717,PERFORMED,ACC_717
ACC_717,HAS_OCCURRENCE,FIRE_717
ACC_717,HAS_OCCURRENCE,EXPLOSION_717
ACC_717,INVOLVES,SUB_717
HUMANFACTOR_717,TRIGGERS,ACC_717
ACC_1294,OCCURRED_ON,DT_1294
ACC_1294,LASTED_FOR,DUR_1294
STAFF_1294,PERFORMED,ACC_1294
HUMANFACTOR_1294,TRIGGERS,ACC_1294
ACC_9,OCCURRED_ON,DT_9
ACC_9,LASTED_FOR,DUR_9
STAFF_9,PERFORMED,ACC_9
ACC_9,INVOLVES,SUB_9
SUB_9,HAS_HAZARD,TOXIC_9
ORGANIZATIONFACTOR_9,TRIGGERS,ACC_9
ACC_1149,OCCURRED_ON,DT_1149
ACC_1149,LASTED_FOR,DUR_1149
STAFF_1149,PERFORMED,ACC_1149
ACC_1149,HAS_OCCURRENCE,EXPLOSION_1149
ACC_1149,INVOLVES,SUB_1149
SUB_1149,HAS_HAZARD,EXPLOSIVEHAZARD_1149
ACC_1149,LEADS_TO,FATAL_1149
ACC_370,OCCURRED_ON,DT_370
ACC_370,LASTED_FOR,DUR_370
STAFF_370,PERFORMED,ACC_370
ACC_370,INVOLVES,SUB_370
SUB_370,HAS_HAZARD,TOXIC_370
ACC_576,OCCURRED_ON,DT_576
ACC_576,LASTED_FOR,DUR_576
STAFF_576,PERFORMED,ACC_576
ACC_576,HAS_OCCURRENCE,RELEASE_576
ACC_576,INVOLVES,SUB_576
SUB_576,HAS_HAZARD,TOXIC_576
ORGANIZATIONFACTOR_576,TRIGGERS,ACC_576
ACC_401,OCCURRED_ON,DT_401
ACC_401,LASTED_FOR,DUR_401
STAFF_401,PERFORMED,ACC_401
ACC_401,INVOLVES,SUB_401
ACC_490,OCCURRED_ON,DT_490
ACC_490,LASTED_FOR,DUR_490
STAFF_490,PERFORMED,ACC_490
ACC_490,INVOLVES,SUB_490
SUB_490,HAS_HAZARD,FLAMMABLE_490
ACC_830,OCCURRED_ON,DT_830
ACC_830,LASTED_FOR,DUR_830
STAFF_830,PERFORMED,ACC_830
ACC_830,HAS_OCCURRENCE,RELEASE_830
ACC_830,HAS_OCCURRENCE,FIRE_830
ACC_830,OCCURRED_AT,PROCESSEQUIPMENT_830
ACC_830,INVOLVES,SUB_830
SUB_830,HAS_HAZARD,TOXIC_830
SUB_830,HAS_HAZARD,FLAMMABLE_830
PLANTEQUIPMENTFACTOR_830,TRIGGERS,ACC_830
ORGANIZATIONFACTOR_830,TRIGGERS,ACC_830
ACC_830,LEADS_TO,INJ_830
ACC_1215,OCCURRED_ON,DT_1215
ACC_1215,LASTED_FOR,DUR_1215
STAFF_1215,PERFORMED,ACC_1215
ACC_1215,HAS_OCCURRENCE,RELEASE_1215
ACC_1215,INVOLVES,SUB_1215
SUB_1215,HAS_HAZARD,TOXIC_1215
SUB_1215,HAS_HAZARD,FLAMMABLE_1215
PLANTEQUIPMENTFACTOR_1215,TRIGGERS,ACC_1215
HUMANFACTOR_1215,TRIGGERS,ACC_1215
ORGANIZATIONFACTOR_1215,TRIGGERS,ACC_1215
ACC_109,OCCURRED_ON,DT_109
ACC_109,LASTED_FOR,DUR_109
STAFF_109,PERFORMED,ACC_109
ACC_109,HAS_OCCURRENCE,FIRE_109
ACC_35,OCCURRED_ON,DT_35
ACC_35,LASTED_FOR,DUR_35
STAFF_35,PERFORMED,ACC_35
ACC_35,HAS_OCCURRENCE,RELEASE_35
ACC_35,INVOLVES,SUB_35
SUB_35,HAS_HAZARD,FLAMMABLE_35
PLANTEQUIPMENTFACTOR_35,TRIGGERS,ACC_35
HUMANFACTOR_35,TRIGGERS,ACC_35
ORGANIZATIONFACTOR_35,TRIGGERS,ACC_35
ACC_736,OCCURRED_ON,DT_736
ACC_736,LASTED_FOR,DUR_736
STAFF_736,PERFORMED,ACC_736
ACC_736,HAS_OCCURRENCE,RELEASE_736
ACC_736,OCCURRED_AT,PROCESSEQUIPMENT_736
ACC_736,INVOLVES,SUB_736
SUB_736,HAS_HAZARD,TOXIC_736
SUB_736,HAS_HAZARD,FLAMMABLE_736
PLANTEQUIPMENTFACTOR_736,TRIGGERS,ACC_736
HUMANFACTOR_736,TRIGGERS,ACC_736
ACC_1068,OCCURRED_ON,DT_1068
ACC_1068,LASTED_FOR,DUR_1068
STAFF_1068,PERFORMED,ACC_1068
ACC_1068,HAS_OCCURRENCE,RELEASE_1068
ACC_1068,HAS_OCCURRENCE,FIRE_1068
ACC_1068,HAS_OCCURRENCE,EXPLOSION_1068
PLANTEQUIPMENTFACTOR_1068,TRIGGERS,ACC_1068
ACC_1068,LEADS_TO,INJ_1068
ACC_275,OCCURRED_ON,DT_275
ACC_275,LASTED_FOR,DUR_275
STAFF_275,PERFORMED,ACC_275
ACC_275,INVOLVES,SUB_275
SUB_275,HAS_HAZARD,TOXIC_275
HUMANFACTOR_275,TRIGGERS,ACC_275
ORGANIZATIONFACTOR_275,TRIGGERS,ACC_275
ACC_7,OCCURRED_ON,DT_7
ACC_7,LASTED_FOR,DUR_7
STAFF_7,PERFORMED,ACC_7
ACC_7,HAS_OCCURRENCE,FIRE_7
ACC_7,HAS_OCCURRENCE,EXPLOSION_7
ACC_7,OCCURRED_AT,PROCESSEQUIPMENT_7
PLANTEQUIPMENTFACTOR_7,TRIGGERS,ACC_7
ORGANIZATIONFACTOR_7,TRIGGERS,ACC_7
ACC_7,LEADS_TO,INJ_7
ACC_981,OCCURRED_ON,DT_981
ACC_981,LASTED_FOR,DUR_981
STAFF_981,PERFORMED,ACC_981
ACC_981,HAS_OCCURRENCE,RELEASE_981
ACC_981,HAS_OCCURRENCE,EXPLOSION_981
ACC_981,INVOLVES,SUB_981
ACC_1192,OCCURRED_ON,DT_1192
ACC_1192,LASTED_FOR,DUR_1192
STAFF_1192,PERFORMED,ACC_1192
ACC_1192,HAS_OCCURRENCE,FIRE_1192
PLANTEQUIPMENTFACTOR_1192,TRIGGERS,ACC_1192
ACC_1192,LEADS_TO,INJ_1192
ACC_833,OCCURRED_ON,DT_833
ACC_833,LASTED_FOR,DUR_833
STAFF_833,PERFORMED,ACC_833
ACC_833,HAS_OCCURRENCE,RELEASE_833
ACC_833,OCCURRED_AT,STORAGEEQUIPMENT_833
ACC_833,INVOLVES,SUB_833
SUB_833,HAS_HAZARD,FLAMMABLE_833
PLANTEQUIPMENTFACTOR_833,TRIGGERS,ACC_833
ORGANIZATIONFACTOR_833,TRIGGERS,ACC_833
ACC_961,OCCURRED_ON,DT_961
ACC_961,LASTED_FOR,DUR_961
STAFF_961,PERFORMED,ACC_961
ACC_961,HAS_OCCURRENCE,RELEASE_961
ACC_961,INVOLVES,SUB_961
SUB_961,HAS_HAZARD,FLAMMABLE_961
PLANTEQUIPMENTFACTOR_961,TRIGGERS,ACC_961
ACC_200,OCCURRED_ON,DT_200
ACC_200,LASTED_FOR,DUR_200
STAFF_200,PERFORMED,ACC_200
ACC_200,HAS_OCCURRENCE,RELEASE_200
ACC_200,HAS_OCCURRENCE,EXPLOSION_200
ACC_200,INVOLVES,SUB_200
SUB_200,HAS_HAZARD,FLAMMABLE_200
ORGANIZATIONFACTOR_200,TRIGGERS,ACC_200
ACC_632,OCCURRED_ON,DT_632
ACC_632,LASTED_FOR,DUR_632
CON_632,PERFORMED,ACC_632
ACC_632,INVOLVES,SUB_632
SUB_632,HAS_HAZARD,FLAMMABLE_632
ORGANIZATIONFACTOR_632,TRIGGERS,ACC_632
ACC_632,LEADS_TO,FATAL_632
ACC_632,LEADS_TO,INJ_632
ACC_1168,OCCURRED_ON,DT_1168
ACC_1168,LASTED_FOR,DUR_1168
CON_1168,PERFORMED,ACC_1168
ACC_1168,HAS_OCCURRENCE,RELEASE_1168
ACC_1168,INVOLVES,SUB_1168
HUMANFACTOR_1168,TRIGGERS,ACC_1168
ACC_1168,LEADS_TO,FATAL_1168
ACC_1168,LEADS_TO,INJ_1168
ACC_1206,OCCURRED_ON,DT_1206
ACC_1206,LASTED_FOR,DUR_1206
STAFF_1206,PERFORMED,ACC_1206
ACC_1206,HAS_OCCURRENCE,RELEASE_1206
ACC_1206,HAS_OCCURRENCE,FIRE_1206
ACC_1206,INVOLVES,SUB_1206
SUB_1206,HAS_HAZARD,FLAMMABLE_1206
PLANTEQUIPMENTFACTOR_1206,TRIGGERS,ACC_1206
ACC_599,OCCURRED_ON,DT_599
ACC_599,LASTED_FOR,DUR_599
STAFF_599,PERFORMED,ACC_599
ACC_599,HAS_OCCURRENCE,FIRE_599
ACC_599,OCCURRED_AT,STORAGEEQUIPMENT_599
ACC_599,INVOLVES,SUB_599
SUB_599,HAS_HAZARD,FLAMMABLE_599
ACC_400,OCCURRED_ON,DT_400
ACC_400,LASTED_FOR,DUR_400
STAFF_400,PERFORMED,ACC_400
ACC_400,INVOLVES,SUB_400
SUB_400,HAS_HAZARD,FLAMMABLE_400
ACC_414,OCCURRED_ON,DT_414
ACC_414,LASTED_FOR,DUR_414
CON_414,PERFORMED,ACC_414
ACC_414,HAS_OCCURRENCE,FIRE_414
ACC_414,OCCURRED_AT,TRANSFEREQUIPMENT_414
ACC_414,INVOLVES,SUB_414
SUB_414,HAS_HAZARD,OXIDIZING_414
PLANTEQUIPMENTFACTOR_414,TRIGGERS,ACC_414
ORGANIZATIONFACTOR_414,TRIGGERS,ACC_414
ACC_414,LEADS_TO,FATAL_414
ACC_942,OCCURRED_ON,DT_942
ACC_942,LASTED_FOR,DUR_942
STAFF_942,PERFORMED,ACC_942
ACC_942,INVOLVES,SUB_942
SUB_942,HAS_HAZARD,EXPLOSIVEHAZARD_942
ACC_942,LEADS_TO,FATAL_942
ACC_581,OCCURRED_ON,DT_581
ACC_581,LASTED_FOR,DUR_581
STAFF_581,PERFORMED,ACC_581
ACC_581,HAS_OCCURRENCE,RELEASE_581
ACC_581,HAS_OCCURRENCE,FIRE_581
ACC_581,OCCURRED_AT,PROCESSEQUIPMENT_581
ACC_581,INVOLVES,SUB_581
SUB_581,HAS_HAZARD,TOXIC_581
SUB_581,HAS_HAZARD,FLAMMABLE_581
PLANTEQUIPMENTFACTOR_581,TRIGGERS,ACC_581
HUMANFACTOR_581,TRIGGERS,ACC_581
ORGANIZATIONFACTOR_581,TRIGGERS,ACC_581
ACC_1179,OCCURRED_ON,DT_1179
ACC_1179,LASTED_FOR,DUR_1179
STAFF_1179,PERFORMED,ACC_1179
ACC_1179,HAS_OCCURRENCE,FIRE_1179
ACC_1179,INVOLVES,SUB_1179
ORGANIZATIONFACTOR_1179,TRIGGERS,ACC_1179
ACC_683,OCCURRED_ON,DT_683
ACC_683,LASTED_FOR,DUR_683
STAFF_683,PERFORMED,ACC_683
ACC_683,HAS_OCCURRENCE,RELEASE_683
ACC_683,INVOLVES,SUB_683
SUB_683,HAS_HAZARD,TOXIC_683
HUMANFACTOR_683,TRIGGERS,ACC_683
ACC_683,LEADS_TO,INJ_683
ACC_126,OCCURRED_ON,DT_126
ACC_126,LASTED_FOR,DUR_126
STAFF_126,PERFORMED,ACC_126
ACC_126,HAS_OCCURRENCE,FIRE_126
ACC_126,INVOLVES,SUB_126
ACC_126,LEADS_TO,INJ_126
ACC_1061,OCCURRED_ON,DT_1061
ACC_1061,LASTED_FOR,DUR_1061
STAFF_1061,PERFORMED,ACC_1061
ACC_1061,INVOLVES,SUB_1061
PLANTEQUIPMENTFACTOR_1061,TRIGGERS,ACC_1061
ACC_1061,LEADS_TO,ENV_1061
ACC_26,OCCURRED_ON,DT_26
ACC_26,LASTED_FOR,DUR_26
STAFF_26,PERFORMED,ACC_26
ACC_26,HAS_OCCURRENCE,RELEASE_26
ACC_26,OCCURRED_AT,PROCESSEQUIPMENT_26
ACC_26,INVOLVES,SUB_26
SUB_26,HAS_HAZARD,TOXIC_26
PLANTEQUIPMENTFACTOR_26,TRIGGERS,ACC_26
ORGANIZATIONFACTOR_26,TRIGGERS,ACC_26
ACC_26,LEADS_TO,INJ_26
ACC_57,OCCURRED_ON,DT_57
ACC_57,LASTED_FOR,DUR_57
STAFF_57,PERFORMED,ACC_57
ACC_57,HAS_OCCURRENCE,RELEASE_57
ACC_57,INVOLVES,SUB_57
SUB_57,HAS_HAZARD,FLAMMABLE_57
PLANTEQUIPMENTFACTOR_57,TRIGGERS,ACC_57
HUMANFACTOR_57,TRIGGERS,ACC_57
ORGANIZATIONFACTOR_57,TRIGGERS,ACC_57
ACC_1098,OCCURRED_ON,DT_1098
ACC_1098,LASTED_FOR,DUR_1098
STAFF_1098,PERFORMED,ACC_1098
ACC_1098,HAS_OCCURRENCE,RELEASE_1098
ACC_1098,INVOLVES,SUB_1098
SUB_1098,HAS_HAZARD,FLAMMABLE_1098
PLANTEQUIPMENTFACTOR_1098,TRIGGERS,ACC_1098
ORGANIZATIONFACTOR_1098,TRIGGERS,ACC_1098
ACC_1100,OCCURRED_ON,DT_1100
ACC_1100,LASTED_FOR,DUR_1100
STAFF_1100,PERFORMED,ACC_1100
ACC_1100,HAS_OCCURRENCE,RELEASE_1100
ACC_1100,INVOLVES,SUB_1100
SUB_1100,HAS_HAZARD,OXIDIZING_1100
ACC_708,OCCURRED_ON,DT_708
ACC_708,LASTED_FOR,DUR_708
STAFF_708,PERFORMED,ACC_708
ACC_708,HAS_OCCURRENCE,RELEASE_708
ACC_708,OCCURRED_AT,STORAGEEQUIPMENT_708
ACC_708,INVOLVES,SUB_708
SUB_708,HAS_HAZARD,TOXIC_708
HUMANFACTOR_708,TRIGGERS,ACC_708
ORGANIZATIONFACTOR_708,TRIGGERS,ACC_708
ACC_816,OCCURRED_ON,DT_816
ACC_816,LASTED_FOR,DUR_816
STAFF_816,PERFORMED,ACC_816
ACC_816,HAS_OCCURRENCE,RELEASE_816
ACC_816,OCCURRED_AT,TRANSFEREQUIPMENT_816
ACC_816,INVOLVES,SUB_816
SUB_816,HAS_HAZARD,TOXIC_816
HUMANFACTOR_816,TRIGGERS,ACC_816
ORGANIZATIONFACTOR_816,TRIGGERS,ACC_816
ACC_494,OCCURRED_ON,DT_494
ACC_494,LASTED_FOR,DUR_494
STAFF_494,PERFORMED,ACC_494
ACC_494,INVOLVES,SUB_494
SUB_494,HAS_HAZARD,EXPLOSIVEHAZARD_494
ACC_494,LEADS_TO,FATAL_494
ACC_494,LEADS_TO,INJ_494
ACC_780,OCCURRED_ON,DT_780
ACC_780,LASTED_FOR,DUR_780
STAFF_780,PERFORMED,ACC_780
ACC_780,OCCURRED_AT,PROCESSEQUIPMENT_780
ACC_780,INVOLVES,SUB_780
SUB_780,HAS_HAZARD,TOXIC_780
SUB_780,HAS_HAZARD,FLAMMABLE_780
PLANTEQUIPMENTFACTOR_780,TRIGGERS,ACC_780
ACC_937,OCCURRED_ON,DT_937
ACC_937,LASTED_FOR,DUR_937
STAFF_937,PERFORMED,ACC_937
ACC_937,HAS_OCCURRENCE,FIRE_937
ACC_937,HAS_OCCURRENCE,EXPLOSION_937
ACC_937,LEADS_TO,FATAL_937
ACC_937,LEADS_TO,INJ_937
ACC_1287,OCCURRED_ON,DT_1287
ACC_1287,LASTED_FOR,DUR_1287
STAFF_1287,PERFORMED,ACC_1287
ACC_1287,HAS_OCCURRENCE,RELEASE_1287
ORGANIZATIONFACTOR_1287,TRIGGERS,ACC_1287
ACC_616,OCCURRED_ON,DT_616
ACC_616,LASTED_FOR,DUR_616
STAFF_616,PERFORMED,ACC_616
ACC_616,INVOLVES,SUB_616
SUB_616,HAS_HAZARD,FLAMMABLE_616
ACC_616,LEADS_TO,FATAL_616
ACC_161,OCCURRED_ON,DT_161
ACC_161,LASTED_FOR,DUR_161
STAFF_161,PERFORMED,ACC_161
ACC_161,HAS_OCCURRENCE,RELEASE_161
ACC_929,OCCURRED_ON,DT_929
ACC_929,LASTED_FOR,DUR_929
STAFF_929,PERFORMED,ACC_929
ACC_929,INVOLVES,SUB_929
SUB_929,HAS_HAZARD,FLAMMABLE_929
HUMANFACTOR_929,TRIGGERS,ACC_929
ORGANIZATIONFACTOR_929,TRIGGERS,ACC_929
ACC_929,LEADS_TO,FATAL_929
ACC_1190,OCCURRED_ON,DT_1190
ACC_1190,LASTED_FOR,DUR_1190
STAFF_1190,PERFORMED,ACC_1190
ACC_1190,HAS_OCCURRENCE,RELEASE_1190
ACC_1190,INVOLVES,SUB_1190
SUB_1190,HAS_HAZARD,FLAMMABLE_1190
HUMANFACTOR_1190,TRIGGERS,ACC_1190
ACC_469,OCCURRED_ON,DT_469
ACC_469,LASTED_FOR,DUR_469
STAFF_469,PERFORMED,ACC_469
ACC_469,INVOLVES,SUB_469
SUB_469,HAS_HAZARD,TOXIC_469
PLANTEQUIPMENTFACTOR_469,TRIGGERS,ACC_469
ACC_739,OCCURRED_ON,DT_739
ACC_739,LASTED_FOR,DUR_739
STAFF_739,PERFORMED,ACC_739
ACC_739,HAS_OCCURRENCE,RELEASE_739
ACC_739,OCCURRED_AT,PROCESSEQUIPMENT_739
ACC_739,INVOLVES,SUB_739
SUB_739,HAS_HAZARD,FLAMMABLE_739
PLANTEQUIPMENTFACTOR_739,TRIGGERS,ACC_739
ORGANIZATIONFACTOR_739,TRIGGERS,ACC_739
ACC_596,OCCURRED_ON,DT_596
ACC_596,LASTED_FOR,DUR_596
STAFF_596,PERFORMED,ACC_596
ACC_596,HAS_OCCURRENCE,RELEASE_596
ACC_596,HAS_OCCURRENCE,FIRE_596
ACC_596,OCCURRED_AT,STORAGEEQUIPMENT_596
ACC_596,INVOLVES,SUB_596
SUB_596,HAS_HAZARD,TOXIC_596
SUB_596,HAS_HAZARD,FLAMMABLE_596
PLANTEQUIPMENTFACTOR_596,TRIGGERS,ACC_596
HUMANFACTOR_596,TRIGGERS,ACC_596
ACC_596,LEADS_TO,INJ_596
ACC_260,OCCURRED_ON,DT_260
ACC_260,LASTED_FOR,DUR_260
CON_260,PERFORMED,ACC_260
ACC_260,INVOLVES,SUB_260
SUB_260,HAS_HAZARD,FLAMMABLE_260
ORGANIZATIONFACTOR_260,TRIGGERS,ACC_260
ACC_260,LEADS_TO,FATAL_260
ACC_727,OCCURRED_ON,DT_727
ACC_727,LASTED_FOR,DUR_727
STAFF_727,PERFORMED,ACC_727
ACC_727,HAS_OCCURRENCE,EXPLOSION_727
ACC_727,INVOLVES,SUB_727
SUB_727,HAS_HAZARD,EXPLOSIVEHAZARD_727
SUB_727,HAS_HAZARD,FLAMMABLE_727
PLANTEQUIPMENTFACTOR_727,TRIGGERS,ACC_727
ACC_727,LEADS_TO,FATAL_727
ACC_40,OCCURRED_ON,DT_40
ACC_40,LASTED_FOR,DUR_40
STAFF_40,PERFORMED,ACC_40
ACC_40,HAS_OCCURRENCE,FIRE_40
ACC_40,OCCURRED_AT,PROCESSEQUIPMENT_40
ACC_40,INVOLVES,SUB_40
SUB_40,HAS_HAZARD,TOXIC_40
ACC_294,OCCURRED_ON,DT_294
ACC_294,LASTED_FOR,DUR_294
STAFF_294,PERFORMED,ACC_294
ACC_294,HAS_OCCURRENCE,RELEASE_294
PLANTEQUIPMENTFACTOR_294,TRIGGERS,ACC_294
ACC_1189,OCCURRED_ON,DT_1189
ACC_1189,LASTED_FOR,DUR_1189
STAFF_1189,PERFORMED,ACC_1189
ACC_1189,HAS_OCCURRENCE,RELEASE_1189
PLANTEQUIPMENTFACTOR_1189,TRIGGERS,ACC_1189
ACC_1189,LEADS_TO,INJ_1189
ACC_406,OCCURRED_ON,DT_406
ACC_406,LASTED_FOR,DUR_406
STAFF_406,PERFORMED,ACC_406
ACC_406,INVOLVES,SUB_406
SUB_406,HAS_HAZARD,FLAMMABLE_406
ACC_985,OCCURRED_ON,DT_985
ACC_985,LASTED_FOR,DUR_985
STAFF_985,PERFORMED,ACC_985
ACC_985,INVOLVES,SUB_985
SUB_985,HAS_HAZARD,FLAMMABLE_985
ACC_145,OCCURRED_ON,DT_145
ACC_145,LASTED_FOR,DUR_145
STAFF_145,PERFORMED,ACC_145
ACC_145,HAS_OCCURRENCE,RELEASE_145
ACC_145,HAS_OCCURRENCE,FIRE_145
PLANTEQUIPMENTFACTOR_145,TRIGGERS,ACC_145
ACC_398,OCCURRED_ON,DT_398
ACC_398,LASTED_FOR,DUR_398
CON_398,PERFORMED,ACC_398
ACC_398,INVOLVES,SUB_398
SUB_398,HAS_HAZARD,FLAMMABLE_398
